Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2009,14,corinthians,palmeiras,0,3
2009,14,fluminense,cruzeiro,1,1
2009,14,grêmio,santo andré,3,2
2009,14,santos,flamengo,1,2
2009,14,sport,náutico,3,3
2009,14,vitória,coritiba,1,0
2009,15,avaí,vitória,4,0
2009,15,coritiba,botafogo-rj,2,2
2009,15,cruzeiro,sport,1,0
2009,15,flamengo,atlético-mg,3,1
2009,15,goiás,athlético-pr,3,0
2009,15,internacional,barueri,3,2
2009,15,náutico,santos,1,2
2009,15,palmeiras,fluminense,1,0
2009,15,santo andré,corinthians,1,1
2009,15,são paulo,grêmio,2,1
2009,16,athlético-pr,fluminense,1,0
2009,16,atlético-mg,coritiba,3,2
2009,16,botafogo-rj,barueri,2,1
2009,16,corinthians,avaí,0,0
2009,16,flamengo,náutico,1,1
2009,16,grêmio,cruzeiro,4,1
2009,16,santo andré,goiás,1,2
2009,16,santos,internacional,3,3
2009,16,sport,palmeiras,0,1
2009,16,vitória,são paulo,0,1
2009,17,avaí,santo andré,1,0
2009,17,barueri,vitória,4,0
2009,17,coritiba,santos,0,1
2009,17,cruzeiro,athlético-pr,0,2
2009,17,fluminense,sport,5,1
2009,17,goiás,flamengo,3,2
2009,17,internacional,atlético-mg,3,0
2009,17,náutico,corinthians,1,0
2009,17,palmeiras,grêmio,1,1
2009,17,são paulo,botafogo-rj,3,1
2009,18,atlético-mg,palmeiras,1,1
2009,18,barueri,grêmio,1,0
2009,18,botafogo-rj,athlético-pr,0,1
2009,18,coritiba,cruzeiro,1,3
2009,18,flamengo,corinthians,1,0
2009,18,internacional,sport,3,0
2009,18,náutico,santo andré,2,1
2009,18,santos,avaí,2,2
2009,18,são paulo,goiás,3,1
2009,18,vitória,fluminense,2,2
2009,19,athlético-pr,barueri,3,0
2009,19,avaí,náutico,2,1
2009,19,corinthians,atlético-mg,2,0
2009,19,cruzeiro,santos,0,0
2009,19,fluminense,coritiba,1,3
2009,19,goiás,vitória,3,2
2009,19,grêmio,flamengo,4,1
2009,19,palmeiras,botafogo-rj,1,1
2009,19,santo andré,internacional,0,2
2009,19,sport,são paulo,1,2
2009,20,atlético-mg,avaí,2,2
2009,20,barueri,sport,2,1
2009,20,botafogo-rj,santo andré,1,2
