Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Botafogo,2008,17,8,25,7,6,4,26,18,8,2,0,2,1
Internacional,2008,17,9,25,7,6,4,20,17,3,1,0,1,-3
Sport,2008,17,10,24,7,7,3,19,21,-2,0,1,4,-3
Figueirense,2008,17,11,24,6,5,6,22,32,-10,1,0,2,-3
Atlético-MG,2008,17,12,21,5,6,6,22,31,-9,1,0,3,-13
Goiás,2008,17,13,20,5,7,5,20,25,-5,1,0,1,1
Vasco,2008,17,14,19,5,8,4,30,32,-2,0,1,-1,-7
Portuguesa,2008,17,15,19,5,8,4,24,36,-12,0,1,-1,-9
Náutico,2008,17,16,18,5,9,3,19,27,-8,0,4,3,-12
Athletico-PR,2008,17,17,17,4,8,5,15,20,-5,0,2,-1,-2
Santos,2008,17,18,17,4,8,5,19,29,-10,0,1,5,-2
Fluminense,2008,17,19,13,3,10,4,17,26,-9,0,3,8,-4
Ipatinga,2008,17,20,13,3,10,4,18,32,-14,0,2,3,-2
Grêmio,2008,18,1,38,11,2,5,31,12,19,3,0,9,1
Cruzeiro,2008,18,2,36,11,4,3,31,17,14,4,0,4,1
Palmeiras,2008,18,3,34,10,4,4,32,20,12,3,0,13,1
São Paulo,2008,18,4,30,8,4,6,31,20,11,0,1,4,-1
Vitória,2008,18,5,29,9,7,2,25,21,4,0,2,-2,-4
Coritiba,2008,18,6,29,8,5,5,26,19,7,2,0,2,-2
Flamengo,2008,18,7,28,8,6,4,29,19,10,0,3,2,-3
Botafogo,2008,18,8,28,8,6,4,28,19,9,3,0,3,-1
Sport,2008,18,9,27,8,7,3,21,21,0,1,0,5,1
Internacional,2008,18,10,25,7,7,4,20,19,1,0,1,-1,-4
Atlético-MG,2008,18,11,24,6,6,6,25,33,-8,2,0,4,-14
Figueirense,2008,18,12,24,6,6,6,23,34,-11,0,1,3,-4
Goiás,2008,18,13,23,6,7,5,22,26,-4,2,0,2,-1
Athletico-PR,2008,18,14,20,5,8,5,17,20,-3,1,0,1,1
Vasco,2008,18,15,19,5,9,4,30,34,-4,0,2,-2,-8
Portuguesa,2008,18,16,19,5,9,4,24,38,-14,0,2,-2,-10
Náutico,2008,18,17,18,5,10,3,19,29,-10,0,5,-1,-13
Santos,2008,18,18,17,4,9,5,21,32,-11,0,2,6,-3
Fluminense,2008,18,19,16,4,10,4,20,27,-7,1,0,9,-5
Ipatinga,2008,18,20,13,3,11,4,18,33,-15,0,3,-1,-3
Grêmio,2008,19,1,41,12,2,5,35,12,23,4,0,10,1
Cruzeiro,2008,19,2,36,11,5,3,32,19,13,0,1,5,-1
Palmeiras,2008,19,3,34,10,5,4,32,21,11,0,1,-1,-1
São Paulo,2008,19,4,33,9,4,6,33,21,12,1,0,5,-2
Vitória,2008,19,5,32,10,7,2,30,21,9,1,0,1,1
Coritiba,2008,19,6,32,9,5,5,29,19,10,3,0,3,1
Flamengo,2008,19,7,31,9,6,4,30,19,11,1,0,3,1
Botafogo,2008,19,8,31,9,6,4,29,19,10,4,0,4,1
