Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
sport,2008,12,grêmio,-,1,2,2,0,15,4,5,3,12,16,-4,0,0,2,-1
vasco,2008,12,goiás,-,1,1,1,0,13,3,5,4,18,16,2,0,0,5,-2
athlético-pr,2008,12,cruzeiro,cruzeiro,-1,1,0,0,13,3,5,4,11,13,-2,0,1,-1,-3
atlético-mg,2008,12,internacional,internacional,-1,1,0,0,12,2,4,6,14,17,-3,0,2,-1,-8
goiás,2008,12,vasco,-,-1,1,1,0,11,2,5,5,11,19,-8,0,0,2,-3
fluminense,2008,12,palmeiras,palmeiras,-1,3,1,0,9,2,7,3,10,15,-5,0,1,3,-2
santos,2008,12,figueirense,figueirense,-1,3,0,0,8,1,6,5,9,20,-11,0,1,-1,-6
ipatinga,2008,12,botafogo-rj,botafogo-rj,-1,4,0,0,7,1,7,4,11,25,-14,0,2,-2,-7
flamengo,2008,13,vitória,vitória,1,0,1,0,26,8,3,2,25,12,13,0,2,-2,-4
grêmio,2008,13,cruzeiro,grêmio,1,1,0,0,25,7,2,4,19,10,9,1,0,4,1
cruzeiro,2008,13,grêmio,grêmio,-1,1,0,0,24,7,3,3,20,12,8,0,1,-1,-1
vitória,2008,13,flamengo,vitória,-1,0,1,0,23,7,4,2,20,13,7,1,0,7,-3
são paulo,2008,13,botafogo-rj,são paulo,1,2,1,0,23,6,2,5,22,13,9,3,0,9,-6
palmeiras,2008,13,goiás,goiás,-1,3,2,0,21,6,4,3,21,16,5,0,1,8,-5
internacional,2008,13,náutico,-,-1,1,1,0,19,5,4,4,16,14,2,0,0,13,-1
figueirense,2008,13,fluminense,fluminense,-1,1,0,0,19,5,4,4,18,23,-5,0,1,-1,-1
náutico,2008,13,internacional,-,1,1,1,0,18,5,5,3,15,17,-2,0,0,2,-8
coritiba,2008,13,atlético-mg,atlético-mg,-1,3,2,0,17,4,4,5,18,16,2,0,1,4,-1
athlético-pr,2008,13,vasco,athlético-pr,1,3,1,0,16,4,5,4,14,14,0,1,0,1,-4
portuguesa,2008,13,ipatinga,ipatinga,-1,4,1,0,16,4,5,4,18,26,-8,0,1,3,-5
botafogo-rj,2008,13,são paulo,são paulo,-1,2,1,0,15,4,6,3,17,18,-1,0,1,5,-1
sport,2008,13,santos,santos,-1,1,0,0,15,4,6,3,12,17,-5,0,1,-1,-2
atlético-mg,2008,13,coritiba,atlético-mg,1,3,2,0,15,3,4,6,17,19,-2,1,0,1,-9
goiás,2008,13,palmeiras,goiás,1,3,2,0,14,3,5,5,14,21,-7,1,0,3,-4
vasco,2008,13,athlético-pr,athlético-pr,-1,3,1,0,13,3,6,4,19,19,0,0,1,6,-3
